date,open,high,low,close,volume,fear_greed,hash_rate,n_transactions
2020-09-15,10671.77,10930.04,10606.48,10785.31,61822.452786,47.0,134514779.55672038,332957.0
2020-09-16,10785.23,11093.0,10661.22,10954.01,64991.51244,43.0,133652505.32879265,342609.0
2020-09-17,10954.01,11045.46,10745.83,10939.99,55601.614529,48.0,153484812.57112962,348581.0
2020-09-18,10940.0,11038.03,10812.84,10933.39,47266.728275,49.0,142275247.6080696,325157.0
2020-09-19,10933.4,11179.79,10887.37,11080.65,38440.036858,48.0,128478859.9612265,296357.0
2020-09-20,11080.64,11080.64,10723.0,10920.28,39157.922565,52.0,135165071.8298032,259095.0
2020-09-21,10920.28,10988.86,10296.35,10417.22,70683.431179,48.0,139219832.7594406,297605.0
2020-09-22,10417.22,10572.71,10353.0,10529.61,43991.235476,39.0,123857644.31701957,312989.0
2020-09-23,10529.61,10537.15,10136.82,10241.46,51876.568079,43.0,136339422.42648664,349938.0
2020-09-24,10241.46,10795.24,10190.93,10736.32,57676.619427,39.0,131538738.5382301,316552.0
2020-09-25,10736.33,10760.53,10556.24,10686.67,48101.117008,46.0,162263115.42307216,353070.0
2020-09-26,10686.57,10820.94,10644.68,10728.6,28420.836659,45.0,144020516.64769718,276162.0
2020-09-27,10728.59,10799.0,10594.82,10774.25,30549.483253,47.0,145940790.2029998,259382.0
2020-09-28,10774.26,10950.0,10626.0,10696.12,50095.251734,43.0,123857644.31701957,295476.0
2020-09-29,10696.11,10867.54,10635.87,10840.48,41874.898399,45.0,135379285.64883536,347696.0
2020-09-30,10840.58,10849.34,10665.13,10776.59,39596.027322,49.0,149781337.3136051,351417.0
2020-10-01,10776.59,10920.0,10437.0,10619.13,60866.332893,45.0,119056960.428763,304757.0
2020-10-02,10619.13,10664.64,10374.0,10570.4,50130.393705,41.0,130578601.76057878,315443.0
2020-10-03,10570.4,10603.56,10496.46,10542.06,22298.221341,40.0,144980653.4253485,310855.0
2020-10-04,10542.07,10696.87,10517.87,10666.63,23212.001595,42.0,151592064.050859,268019.0
2020-10-05,10666.62,10798.0,10615.64,10792.21,34025.761653,42.0,134303836.4311328,294986.0
2020-10-06,10792.2,10800.0,10525.0,10599.66,48674.740471,47.0,124710705.25748046,317922.0
2020-10-07,10599.65,10681.87,10546.17,10666.39,32811.990279,43.0,144856280.7221504,370554.0
